address,eth_balance,cSum
0x000000000000006f6502b7f2bbac8c30a3f67e9a,1.39807E+22,2.43428E+25
0x000000000000006f6502b7f2bbac8c30a3f67e9a,1.39807E+22,2.43568E+25
0x000000000000006f6502b7f2bbac8c30a3f67e9a,1.39807E+22,2.43708E+25
0x25854e2a49a6cdaec7f0505b4179834509038549,1.3794E+22,2.43846E+25
0xf2d4766ad705e3a5c9ba5b0436b473085f82f82f,1.36209E+22,2.43982E+25
0x6ba3ffbd026a4ec164ad477092000b9cf1e4c351,1.32032E+22,2.44114E+25
0x717e889671f07ac04b243b612b2eed394ff630ca,1.30808E+22,2.44245E+25
0x861f70cf6fe0ac8e15fad59685c14dfdf5d4f51e,1.29768E+22,2.44375E+25
0x5add8a02141bf53a7c5bc6ad5483ca17552e9c52,1.28813E+22,2.44504E+25
0x24c3235558572cff8054b5a419251d3b0d43e91b,1.25309E+22,2.44629E+25
0xd39988dd92ffd85b9ee2b6d05148140b0b9cdee6,1.23053E+22,2.44752E+25
0x5b579b11881fb50f4ef2f0ecb0f7ce164a866ca0,1.21965E+22,2.44874E+25
0x3ad2fcd6a2ce246e890826c9bcca20f06ce11083,1.1884E+22,2.44993E+25
0x910cbd523d972eb0a6f4cae4618ad62622b39dbf,1.167E+22,2.45109E+25
0xdd2c4a7955a77d03406aae43f167a091f6aabc37,1.16E+22,2.45225E+25
0x2629bf288c3aedae8ddb3eb678df9f7ccc18711f,1.15662E+22,2.45341E+25
0x878f15ffc8b894a1ba7647c7176e4c01f74e140b,1.14409E+22,2.45455E+25
0xf4b00c937b4ec4bb5ac051c3c719036c668a31ec,1.12992E+22,2.45568E+25
0xd4fcc07a8da7d55599167991d4ab47f976d0a306,1.09636E+22,2.45678E+25
0x51b4f830ae487528abaf874be1f5a948cff0a0b8,1.09504E+22,2.45788E+25
0x5b97a1cd49754878630524298296abcad2b4cc2d,1.06477E+22,2.45894E+25
0x592a94353879a5bc2a50f0cd5037b7a91e3f5aef,1.05863E+22,2.46E+25
0xe851048c101abbdac26615c44dcec4c051864125,1.04564E+22,2.46105E+25
0x4929a43b719c7ef1e6cf59337040a3fd869b3197,1.02938E+22,2.46207E+25
0x75a03ec24bf95f68a749d833a2efde50db7a6192,1.02278E+22,2.4631E+25
0x686e5ac50d9236a9b7406791256e47feddb26aba,1.02267E+22,2.46412E+25
0x16a0772b17ae004e6645e0e95bf50ad69498a34e,1.01978E+22,2.46514E+25
0xef110ca3c34a5074d455d687ac98f40c03d16173,1.01771E+22,2.46616E+25
0x10abe2494e4525f8cd2bac772671f0e1a44c6975,1.006E+22,2.46716E+25
0x0999127b4d58bebe564405a37c6e0cd40da4e90b,1.00548E+22,2.46817E+25
